"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1992,"Painted Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Painted Francolin","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Painted Francolin","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Painted Francolin","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Painted Francolin","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Painted Francolin","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Painted Francolin","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Painted Francolin","2016",0.0369262729686654,0.0467566643259952,0.0576947198644372,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Painted Francolin","2017",0.0462204971309776,0.0571127971772555,0.0714614378733851,NA,NA,NA,106.641184441697,122.680029365379,142.316426837832,NA,NA,NA,106.641184441697,122.680029365379,142.316426837832
2018,"Painted Francolin","2018",0.039154266209755,0.0485591119651419,0.0597228843003488,NA,NA,NA,89.4758268722776,104.168341839686,120.97061914981,NA,NA,NA,89.4758268722776,104.168341839686,120.97061914981
2019,"Painted Francolin","2019",0.0458323073439859,0.0561590326523842,0.068880507306507,NA,NA,NA,106.27076667439,120.463803255827,138.864087637974,NA,NA,NA,106.27076667439,120.463803255827,138.864087637974
2020,"Painted Francolin","2020",0.039062957389904,0.0476630516670055,0.0587979279348044,NA,NA,NA,90.2805996311082,102.335377863739,116.651406158892,NA,NA,NA,90.2805996311082,102.335377863739,116.651406158892
2021,"Painted Francolin","2021",0.0358086720701229,0.0436445483730979,0.0536421427314552,NA,NA,NA,83.3550275374062,94.0963468626196,106.67363178928,NA,NA,NA,83.3550275374062,94.0963468626196,106.67363178928
2022,"Painted Francolin","2022",0.0364597430150509,0.044195636402349,0.0547543899784542,NA,NA,NA,84.7382476061661,94.9262390527798,108.014930966359,NA,NA,NA,84.7382476061661,94.9262390527798,108.014930966359
2023,"Painted Francolin","2023",0.0290094724556863,0.0354875148681973,0.0439555104415549,NA,NA,NA,66.8743308136245,76.2776808243714,86.5596710121406,NA,NA,NA,66.8743308136245,76.2776808243714,86.5596710121406
2024,"Painted Francolin","2024",0.0322677580777764,0.0392601198861754,0.048371535378173,NA,NA,NA,74.9597476981147,84.2003865576978,96.1468839546878,NA,NA,NA,74.9597476981147,84.2003865576978,96.1468839546878
2025,"Painted Francolin","2025",0.0285911941211782,0.0349172103071906,0.0432980988331667,NA,NA,NA,65.5482734887323,74.9555298361009,84.8146433080425,NA,NA,NA,65.5482734887323,74.9555298361009,84.8146433080425
2026,"Painted Francolin","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,64.7084338889383,74.5774414603797,86.1471907583357,64.7084338889383,74.5774414603797,86.1471907583357
2027,"Painted Francolin","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5874764384633,71.2177359292648,83.9599440511444,60.5874764384633,71.2177359292648,83.9599440511444
2028,"Painted Francolin","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6988903817484,68.0206554110645,81.9104166170459,56.6988903817484,68.0206554110645,81.9104166170459
