"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","X","X",169,0.0355029585798817,0.32396449704142,0.520710059171598,13.1005917159763,0.936314578558594
"Lesser Whistling-Duck","Dendrocygna javanica","X","X","X",2389,0.0527417329426538,0.382743825868564,0.580577647551277,10.2997069903725,0.258392725037699
"Bar-headed Goose","Anser indicus","X","X","X",885,0.0779661016949153,0.30819209039548,0.411299435028249,11.5118644067797,0.438146764390647
"Graylag Goose","Anser anser","X","X","X",493,0.0953346855983773,0.296906693711968,0.44421906693712,11.2718052738337,0.543393818192617
"Greater White-fronted Goose","Anser albifrons","","","",23,NA,0.201086956521739,0.347826086956522,13.6521739130435,2.76255421510114
"Lesser White-fronted Goose","Anser erythropus","","","",11,NA,0.0909090909090909,NA,13.0909090909091,4.70143456214683
"Taiga Bean-Goose","Anser fabalis","","","",1,NA,NA,NA,9,NA
"Tundra Bean-Goose","Anser serrirostris","","","",2,NA,NA,NA,15.5,2.94
"Red-breasted Goose","Branta ruficollis","","","",4,NA,0.5,0.75,15,5.65803263805833
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",1,NA,NA,NA,20,NA
"Knob-billed Duck","Sarkidiornis melanotos","X","X","X",1210,0.0495867768595041,0.304132231404959,0.46198347107438,10.6553719008264,0.358616176993552
"Ruddy Shelduck","Tadorna ferruginea","X","X","X",1458,0.0871056241426612,0.325531550068587,0.460219478737997,9.92043895747599,0.300039437396447
"Common Shelduck","Tadorna tadorna","","","",95,0.0947368421052632,0.225,0.273684210526316,13.3052631578947,1.37269705873675
"Cotton Pygmy-Goose","Nettapus coromandelianus","X","X","X",1337,0.0822737471952132,0.339379207180254,0.462976813762154,11.8092744951384,0.358065600181591
"Mandarin Duck","Aix galericulata","","","",1,NA,NA,NA,17,NA
"Baikal Teal","Sibirionetta formosa","","","",7,NA,NA,NA,17.8571428571429,2.85087121186957
"Garganey","Spatula querquedula","X","X","X",1259,0.0881652104845115,0.356632247815727,0.460683081810961,12.3256552819698,0.364561914222331
"Northern Shoveler","Spatula clypeata","X","X","X",1455,0.101718213058419,0.348281786941581,0.43573883161512,11.0756013745704,0.339124952811738
"Gadwall","Mareca strepera","X","X","X",1145,0.0751091703056769,0.316157205240175,0.447161572052402,10.3580786026201,0.350636486108872
"Falcated Duck","Mareca falcata","","","X",36,0.25,0.225694444444444,0.333333333333333,14.3611111111111,1.92729817921487
"Eurasian Wigeon","Mareca penelope","X","X","X",997,0.0892678034102307,0.303911735205617,0.381143430290873,11.8294884653962,0.392820894784972
"Indian Spot-billed Duck","Anas poecilorhyncha","X","X","X",2248,0.0787366548042705,0.411032028469751,0.600533807829182,10.3238434163701,0.269048009915459
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",9,NA,0.236111111111111,0.222222222222222,17,2.16686152969886
"Mallard","Anas platyrhynchos","X","X","X",365,0.112328767123288,0.28527397260274,0.394520547945205,11.4904109589041,0.60299912456314
"Northern Pintail","Anas acuta","X","X","X",1565,0.118849840255591,0.336022364217252,0.426837060702875,11.1872204472843,0.322468317044985
