Sl No,English Name,Scientific Name
1,Fulvous Whistling-Duck,Dendrocygna bicolor
2,Lesser Whistling-Duck,Dendrocygna javanica
3,Bar-headed Goose,Anser indicus
4,Greylag Goose,Anser anser
5,Greater White-fronted Goose,Anser albifrons
6,Lesser White-fronted Goose,Anser erythropus
7,Tundra Bean-Goose,Anser serrirostris
8,Knob-billed Duck,Sarkidiornis melanotos
9,Ruddy Shelduck,Tadorna ferruginea
10,Common Shelduck,Tadorna tadorna
11,Cotton Pygmy-Goose,Nettapus coromandelianus
12,Baikal Teal,Sibirionetta formosa
13,Garganey,Spatula querquedula
14,Northern Shoveler,Spatula clypeata
15,Gadwall,Mareca strepera
16,Falcated Duck,Mareca falcata
17,Eurasian Wigeon,Mareca penelope
18,Indian Spot-billed Duck,Anas poecilorhyncha
19,Eastern Spot-billed Duck,Anas zonorhyncha
20,Mallard,Anas platyrhynchos
21,Northern Pintail,Anas acuta
22,Common Teal,Anas crecca
23,Andaman Teal,Anas albogularis
24,Marbled Duck,Marmaronetta angustirostris
25,Pink-headed Duck,Rhodonessa caryophyllacea
26,White-winged Wood-Duck,Asarcornis scutulata
27,Red-crested Pochard,Netta rufina
28,Common Pochard,Aythya ferina
29,Ferruginous Duck,Aythya nyroca
30,Baer's Pochard,Aythya baeri
31,Tufted Duck,Aythya fuligula
32,Greater Scaup,Aythya marila
33,Common Goldeneye,Bucephala clangula
34,Smew,Mergellus albellus
35,Common Merganser,Mergus merganser
36,Nicobar Megapode,Megapodius nicobariensis
37,Hill Partridge,Arborophila torqueola
38,Chestnut-breasted Partridge,Arborophila mandellii
39,Rufous-throated Partridge,Arborophila rufogularis
40,White-cheeked Partridge,Arborophila atrogularis
41,Snow Partridge,Lerwa lerwa
42,Blood Pheasant,Ithaginis cruentus
43,Western Tragopan,Tragopan melanocephalus
44,Satyr Tragopan,Tragopan satyra
45,Blyth's Tragopan,Tragopan blythii
46,Temminck's Tragopan,Tragopan temminckii
47,Himalayan Monal,Lophophorus impejanus
48,Sclater's Monal,Lophophorus sclateri
49,Koklass Pheasant,Pucrasia macrolopha
50,Tibetan Partridge,Perdix hodgsoniae
51,Mrs. Hume's Pheasant,Syrmaticus humiae
52,Cheer Pheasant,Catreus wallichii
53,Kalij Pheasant,Lophura leucomelanos
54,Indian Peafowl,Pavo cristatus
55,Green Peafowl,Pavo muticus
56,Red Spurfowl,Galloperdix spadicea
57,Painted Spurfowl,Galloperdix lunulata
58,Grey Peacock-Pheasant,Polyplectron bicalcaratum
59,Mountain Bamboo-Partridge,Bambusicola fytchii
60,Red Junglefowl,Gallus gallus
61,Grey Junglefowl,Gallus sonneratii
62,Grey Francolin,Ortygornis pondicerianus
63,Swamp Francolin,Ortygornis gularis
64,Chinese Francolin,Francolinus pintadeanus
65,Black Francolin,Francolinus francolinus
66,Painted Francolin,Francolinus pictus
67,Tibetan Snowcock,Tetraogallus tibetanus
68,Himalayan Snowcock,Tetraogallus himalayensis
69,Blue-breasted Quail,Synoicus chinensis
70,Common Quail,Coturnix coturnix
71,Rain Quail,Coturnix coromandelica
72,Chukar Partridge,Alectoris chukar
73,Jungle Bush-Quail,Perdicula asiatica
74,Rock Bush-Quail,Perdicula argoondah
75,Painted Bush-Quail,Perdicula erythrorhyncha
76,Manipur Bush-Quail,Perdicula manipurensis
77,Himalayan Quail,Ophrysia superciliosa
78,Rock Pigeon,Columba livia
79,Hill Pigeon,Columba rupestris
80,Snow Pigeon,Columba leuconota
81,Yellow-eyed Pigeon,Columba eversmanni
82,Common Wood-Pigeon,Columba palumbus
83,Speckled Wood-Pigeon,Columba hodgsonii
84,Ashy Wood-Pigeon,Columba pulchricollis
85,Nilgiri Wood-Pigeon,Columba elphinstonii
86,Pale-capped Pigeon,Columba punicea
87,Andaman Wood-Pigeon,Columba palumboides
88,Oriental Turtle-Dove,Streptopelia orientalis
89,Eurasian Collared-Dove,Streptopelia decaocto
90,Red Collared-Dove,Streptopelia tranquebarica
91,Spotted Dove,Spilopelia chinensis
92,Laughing Dove,Spilopelia senegalensis
93,Barred Cuckoo-Dove,Macropygia unchall
94,Andaman Cuckoo-Dove,Macropygia rufipennis
95,Asian Emerald Dove,Chalcophaps indica
96,Nicobar Pigeon,Caloenas nicobarica
97,Orange-breasted Green-Pigeon,Treron bicinctus
98,Grey-fronted Green-Pigeon,Treron affinis
99,Andaman Green-Pigeon,Treron chloropterus
100,Ashy-headed Green-Pigeon,Treron phayrei
101,Thick-billed Green-Pigeon,Treron curvirostra
102,Yellow-footed Green-Pigeon,Treron phoenicopterus
103,Pin-tailed Green-Pigeon,Treron apicauda
104,Wedge-tailed Green-Pigeon,Treron sphenurus
105,Green Imperial-Pigeon,Ducula aenea
106,Nicobar Imperial-Pigeon,Ducula nicobarica
107,Malabar Imperial-Pigeon,Ducula cuprea
108,Mountain Imperial-Pigeon,Ducula badia
109,Pied Imperial-Pigeon,Ducula bicolor
110,Tibetan Sandgrouse,Syrrhaptes tibetanus
111,Chestnut-bellied Sandgrouse,Pterocles exustus
112,Spotted Sandgrouse,Pterocles senegallus
113,Black-bellied Sandgrouse,Pterocles orientalis
114,Painted Sandgrouse,Pterocles indicus
115,Great Indian Bustard,Ardeotis nigriceps
116,Asian Houbara,Chlamydotis macqueenii
117,Bengal Florican,Houbaropsis bengalensis
118,Lesser Florican,Sypheotides indicus
119,Andaman Coucal,Centropus andamanensis
120,Greater Coucal,Centropus sinensis
121,Lesser Coucal,Centropus bengalensis
122,Sirkeer Malkoha,Taccocua leschenaultii
123,Blue-faced Malkoha,Phaenicophaeus viridirostris
124,Green-billed Malkoha,Phaenicophaeus tristis
125,Chestnut-winged Cuckoo,Clamator coromandus
126,Pied Cuckoo,Clamator jacobinus
127,Asian Koel,Eudynamys scolopaceus
128,Asian Emerald Cuckoo,Chrysococcyx maculatus
129,Violet Cuckoo,Chrysococcyx xanthorhynchus
130,Banded Bay Cuckoo,Cacomantis sonneratii
131,Plaintive Cuckoo,Cacomantis merulinus
132,Grey-bellied Cuckoo,Cacomantis passerinus
133,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides
134,Square-tailed Drongo-Cuckoo,Surniculus lugubris
135,Large Hawk-Cuckoo,Hierococcyx sparverioides
136,Common Hawk-Cuckoo,Hierococcyx varius
137,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor
138,Lesser Cuckoo,Cuculus poliocephalus
139,Indian Cuckoo,Cuculus micropterus
140,Himalayan Cuckoo,Cuculus saturatus
141,Common Cuckoo,Cuculus canorus
142,Great Eared-Nightjar,Lyncornis macrotis
143,Jungle Nightjar,Caprimulgus indicus
144,Grey Nightjar,Caprimulgus jotaka
145,European Nightjar,Caprimulgus europaeus
146,Sykes's Nightjar,Caprimulgus mahrattensis
147,Large-tailed Nightjar,Caprimulgus macrurus
148,Andaman Nightjar,Caprimulgus andamanicus
149,Jerdon's Nightjar,Caprimulgus atripennis
150,Indian Nightjar,Caprimulgus asiaticus
151,Savanna Nightjar,Caprimulgus affinis
152,Sri Lanka Frogmouth,Batrachostomus moniliger
153,Hodgson's Frogmouth,Batrachostomus hodgsoni
154,White-rumped Spinetail,Zoonavena sylvatica
155,White-throated Needletail,Hirundapus caudacutus
156,Silver-backed Needletail,Hirundapus cochinchinensis
157,Brown-backed Needletail,Hirundapus giganteus
158,Plume-toed Swiftlet,Collocalia affinis
159,Indian Swiftlet,Aerodramus unicolor
160,Himalayan Swiftlet,Aerodramus brevirostris
161,Edible-nest Swiftlet,Aerodramus fuciphagus
162,Alpine Swift,Tachymarptis melba
163,Common Swift,Apus apus
164,Blyth's Swift,Apus leuconyx
165,Dark-rumped Swift,Apus acuticauda
166,Little Swift,Apus affinis
167,House Swift,Apus nipalensis
168,Asian Palm Swift,Cypsiurus balasiensis
169,Crested Treeswift,Hemiprocne coronata
170,Water Rail,Rallus aquaticus
171,Brown-cheeked Rail,Rallus indicus
172,Slaty-breasted Rail,Lewinia striata
173,Spotted Crake,Porzana porzana
174,Common Moorhen,Gallinula chloropus
175,Eurasian Coot,Fulica atra
176,Grey-headed Swamphen,Porphyrio poliocephalus
177,Watercock,Gallicrex cinerea
178,White-breasted Waterhen,Amaurornis phoenicurus
179,Andaman Crake,Rallina canningi
180,Slaty-legged Crake,Rallina eurizonoides
181,Ruddy-breasted Crake,Zapornia fusca
182,Brown Crake,Zapornia akool
183,Baillon's Crake,Zapornia pusilla
184,Black-tailed Crake,Zapornia bicolor
185,Masked Finfoot,Heliopais personatus
186,Siberian Crane,Leucogeranus leucogeranus
187,Sarus Crane,Antigone antigone
188,Demoiselle Crane,Grus virgo
189,Common Crane,Grus grus
190,Black-necked Crane,Grus nigricollis
191,Great Thick-knee,Esacus recurvirostris
192,Beach Thick-knee,Esacus magnirostris
193,Indian Thick-knee,Burhinus indicus
194,Black-winged Stilt,Himantopus himantopus
195,Pied Avocet,Recurvirostra avosetta
196,Ibisbill,Ibidorhyncha struthersii
197,Eurasian Oystercatcher,Haematopus ostralegus
198,Grey Plover,Pluvialis squatarola
199,Pacific Golden-Plover,Pluvialis fulva
200,Common Ringed Plover,Charadrius hiaticula
201,Little Ringed Plover,Thinornis dubius
202,Long-billed Plover,Thinornis placidus
203,Northern Lapwing,Vanellus vanellus
204,River Lapwing,Vanellus duvaucelii
205,Yellow-wattled Lapwing,Vanellus malabaricus
206,Grey-headed Lapwing,Vanellus cinereus
207,Red-wattled Lapwing,Vanellus indicus
208,Sociable Lapwing,Vanellus gregarius
209,White-tailed Lapwing,Vanellus leucurus
210,Caspian Plover,Anarhynchus asiaticus
211,Tibetan Sand-Plover,Anarhynchus atrifrons
212,Greater Sand-Plover,Anarhynchus leschenaultii
213,Kentish Plover,Anarhynchus alexandrinus
214,Greater Painted-Snipe,Rostratula benghalensis
215,Pheasant-tailed Jacana,Hydrophasianus chirurgus
216,Bronze-winged Jacana,Metopidius indicus
217,Whimbrel,Numenius phaeopus
218,Eurasian Curlew,Numenius arquata
219,Bar-tailed Godwit,Limosa lapponica
220,Black-tailed Godwit,Limosa limosa
221,Asian Dowitcher,Limnodromus semipalmatus
222,Long-billed Dowitcher,Limnodromus scolopaceus
223,Jack Snipe,Lymnocryptes minimus
224,Eurasian Woodcock,Scolopax rusticola
225,Solitary Snipe,Gallinago solitaria
226,Wood Snipe,Gallinago nemoricola
227,Swinhoe's Snipe,Gallinago megala
228,Pin-tailed Snipe,Gallinago stenura
229,Common Snipe,Gallinago gallinago
230,Red Phalarope,Phalaropus fulicarius
231,Red-necked Phalarope,Phalaropus lobatus
